metric	value	source
input_microglia_n	20	projects/GSE306226/Neurons_vs_Microglia_results/Input_Group_Distribution.csv
input_neurons_n	20	projects/GSE306226/Neurons_vs_Microglia_results/Input_Group_Distribution.csv
samples_passed_qc	40	projects/GSE306226/Neurons_vs_Microglia_results/QC_Summary.csv
samples_failed_qc	0	projects/GSE306226/Neurons_vs_Microglia_results/QC_Summary.csv
raw_probes	865859	projects/GSE306226/Neurons_vs_Microglia_results/QC_Summary.csv
final_probes	770885	projects/GSE306226/Neurons_vs_Microglia_results/QC_Summary.csv
minfi_dmp_up	4513	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
minfi_dmp_down	4630	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
sesame_strict_dmp_up	7251	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
sesame_strict_dmp_down	12413	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
sesame_native_dmp_up	9605	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
sesame_native_dmp_down	8908	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
strict_consensus_dmps	6398	projects/GSE306226/Neurons_vs_Microglia_results/Intersection_Consensus_DMPs.csv
native_consensus_dmps	6269	projects/GSE306226/Neurons_vs_Microglia_results/Intersection_Native_Consensus_DMPs.csv
minfi_dmr_rows	4537	projects/GSE306226/Neurons_vs_Microglia_results/Minfi_DMRs.csv
sesame_strict_dmr_rows	5076	projects/GSE306226/Neurons_vs_Microglia_results/Sesame_DMRs.csv
sesame_native_dmr_rows	5530	projects/GSE306226/Neurons_vs_Microglia_results/Sesame_Native_DMRs.csv
minfi_lambda	1.55149268783561	projects/GSE306226/Neurons_vs_Microglia_results/Minfi_Metrics.csv
sesame_strict_lambda	1.59402088509984	projects/GSE306226/Neurons_vs_Microglia_results/Sesame_Metrics.csv
sesame_native_lambda	1.86601301025061	projects/GSE306226/Neurons_vs_Microglia_results/Sesame_Native_Metrics.csv
lambda_guard_threshold	1.5	projects/GSE306226/Neurons_vs_Microglia_results/analysis_parameters.json
primary_result_mode	tier3_ineligible	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
primary_branch	Minfi	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
crf_sample_tier	moderate	projects/GSE306226/Neurons_vs_Microglia_results/summary.json
correction_adequacy_index	0.535653017519472	projects/GSE306226/Neurons_vs_Microglia_results/Correction_Adequacy_Summary.csv
preservation_score	0.816151478627063	projects/GSE306226/Neurons_vs_Microglia_results/Correction_Adequacy_Summary.csv
batch_removal_score	1	projects/GSE306226/Neurons_vs_Microglia_results/Correction_Adequacy_Summary.csv
calibration_score	0	projects/GSE306226/Neurons_vs_Microglia_results/Correction_Adequacy_Summary.csv
cell_latent1_eta_squared	0.710314343425194	projects/GSE306226/Neurons_vs_Microglia_results/Cell_vs_Group_Association.csv
cell_latent2_eta_squared	0.905257543501548	projects/GSE306226/Neurons_vs_Microglia_results/Cell_vs_Group_Association.csv
