gse_id	title	platform	platform_type	sample_count	pubmed_id	suppl_has_idat
GSE287219	Placental DNA methylation in normal and complicated pregnancies	GPL21145	850k	18	40822353	yes
GSE279988	Placental Malaria Induces a Unique Methylation Profile Associated with Fetal Growth Restriction	GPL21145	850k	24	40051167	yes
GSE289196	Infertility and treatments utilized have minimal effects on first trimester human placenta DNA methylation and gene expression.	GPL21145	850k	138	39152463;36379261	yes
GSE287809	Comprehensive Analysis of DNA Methylation Patterns in Recurrent Miscarriage: Imprinted Genes and Their Regulation Across Sperm and Fetal-Maternal Tissues	GPL13534	450k	12		yes
GSE288358	Placental PFAS concentrations are associated with perturbations of placental DNA methylation	GPL21145	850k	151	39862910;39884538;40796795	yes
GSE271697	Placental and Immune Cell DNA Methylation Reference Panel for Bulk Tissue Cell Composition Estimation in Epidemiological Studies	GPL21145	850k	93	39648517	yes
GSE269799	Technical considerations for placental tissue processing and the subsequent impact on genome-wide DNA methylation analysis	GPL21145	850k	24	39285447	yes
GSE259304	Epigenetic changes play a role in regulating the epithelial-mesenchymal transition in human trophoblast differentiation [Methylation array]	GPL21145	850k	12	39005325;40643491	yes
GSE269983	Gestational exposure to environmental chemicals and epigenetic alterations in the placenta and cord blood mononuclear cells	GPL13534	450k	192	38962689;40405669	yes
GSE192812	Methylome analyses by Infinium MethylationEPIC assay from umbilical cord and placenta samples of mothers with or without obesity before pregnancy and mothers with and without gestational obesity	GPL21145	850k	48	38397903	yes
GSE228151	Prevalence of chromosomal alterations in first-trimester spontaneous pregnancy loss	GPL28939;GPL21145	850k	463	37996709	yes
GSE228149	Prevalence of chromosomal alterations in first-trimester spontaneous pregnancy loss	GPL21145	850k	13	37996709	yes
GSE223825	Chronic Prenatal Delta-9-tetrahydrocannabinol Exposure Adversely Impacts DNA methylation in a Rhesus Macaque Model [methylation]	GPL21145	850k	48	37415206	yes
GSE232778	The application of epiphenotyping approaches to DNA methylation array studies of the human placenta	GPL21145	850k	219	37461679;37794499	yes
GSE208704	Epigenome analysis of placenta/cord blood/saliva samples	GPL21145	850k	157		yes
GSE223826	Chronic Prenatal Delta-9-tetrahydrocannabinol Exposure Adversely Impacts Placental Function	GPL21145;GPL27943	850k	58	36424495;37415206	yes
GSE207114	Monosomy X in isogenic human iPSC-derived trophoblast model impacts expression modules preserved in human placenta	GPL18573;GPL21145;GPL19718;GPL24676	850k	74	36161909	yes
