"Batch","Group","N","Pass_Group_Min","Batch_Pass","Total_N","Min_Group_N","Eligible","Fail_Reason"
"205854150033","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154080074","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154080123","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250020","Microglia",0,FALSE,NA,37,1,FALSE,"stratum_group_lt_min"
"206154250078","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250088","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250090","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250093","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950089","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950140","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950147","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950150","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950168","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950169","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950170","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950184","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950186","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950194","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950198","Microglia",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"205854150033","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154080074","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154080123","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250020","Neurons",1,FALSE,NA,37,1,FALSE,"stratum_group_lt_min"
"206154250078","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250088","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250090","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206154250093","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950089","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950140","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950147","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950150","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950168","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950169","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950170","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950184","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950186","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950194","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
"206513950198","Neurons",1,FALSE,FALSE,37,1,FALSE,"stratum_group_lt_min"
