"timestamp"	"stage"	"decision"	"value"	"reason"	"metrics"
"2026-05-22 19:25:10"	"config"	"preset"	"conservative"	"default"	""
"2026-05-22 19:25:21"	"crf"	"sample_tier"	"moderate"	"sample_size_adaptive"	"total_n=37;min_per_group=18"
"2026-05-22 19:26:12"	"qc"	"cross_reactive_list"	"loaded"	"/home/keunsoo/Projects/23_illumeta/references/probe_blacklists/cross_reactive_EPIC.tsv"	"n=44571"
"2026-05-22 19:33:09"	"qc"	"sex_mismatch_action"	"stop"	"enabled"	"mismatch_count=0"
"2026-05-22 19:33:52"	"qc"	"cross_reactive_removed"	"44254"	"list"	""
"2026-05-22 19:39:58"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-22 19:39:58"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=37;min_stratum_n=1"
"2026-05-22 19:39:58"	"confounding"	"batch_candidate_override"	"Sentrix_ID"	"manual_override"	""
"2026-05-22 19:43:17"	"lambda_guard"	"triggered"	"36.883"	"lambda_above_threshold"	"threshold=1.5;n_samples=37;action=warn"
"2026-05-22 19:49:28"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-22 19:49:57"	"crf"	"report"	"generated"	"moderate"	""
"2026-05-22 19:50:45"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-22 19:50:45"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=37;min_stratum_n=1"
"2026-05-22 19:50:45"	"confounding"	"batch_candidate_override"	"Sentrix_ID"	"manual_override"	""
"2026-05-22 19:53:36"	"lambda_guard"	"triggered"	"38.012"	"lambda_above_threshold"	"threshold=1.5;n_samples=37;action=warn"
"2026-05-22 19:58:35"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-22 19:58:58"	"crf"	"report"	"generated"	"moderate"	""
"2026-05-22 19:59:39"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-22 19:59:39"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=37;min_stratum_n=1"
"2026-05-22 19:59:39"	"confounding"	"batch_candidate_override"	"Sentrix_ID"	"manual_override"	""
"2026-05-22 20:02:40"	"lambda_guard"	"triggered"	"35.529"	"lambda_above_threshold"	"threshold=1.5;n_samples=37;action=warn"
"2026-05-22 20:07:44"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-22 20:08:14"	"crf"	"report"	"generated"	"moderate"	""
"2026-05-22 20:08:34"	"consensus"	"primary_branch"	"Minfi"	"best_candidate_score"	""
