primary_group	geo_accession	title	sex	cell_type	tissue	Sentrix_Position	Sentrix_ID	supplementary_file	supplementary_file.1
Astrocytes	GSM9195115	Astrocytes_healthy_20130400	Female	Astrocytes	Brain (Cingulate Gyrus)	R05C01	205854150033	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195115/suppl/GSM9195115_205854150033_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195115/suppl/GSM9195115_205854150033_R05C01_Red.idat.gz
Astrocytes	GSM9195119	Astrocytes_healthy_PDC091	Male	Astrocytes	Brain (Cingulate Gyrus)	R02C01	206154080074	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195119/suppl/GSM9195119_206154080074_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195119/suppl/GSM9195119_206154080074_R02C01_Red.idat.gz
Astrocytes	GSM9195123	Astrocytes_healthy_20174918	Female	Astrocytes	Brain (Cingulate Gyrus)	R04C01	206154080123	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195123/suppl/GSM9195123_206154080123_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195123/suppl/GSM9195123_206154080123_R04C01_Red.idat.gz
Astrocytes	GSM9195127	Astrocytes_healthy_20140411	Male	Astrocytes	Brain (Cingulate Gyrus)	R05C01	206154250020	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195127/suppl/GSM9195127_206154250020_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195127/suppl/GSM9195127_206154250020_R05C01_Red.idat.gz
Astrocytes	GSM9195131	Astrocytes_healthy_20110891	Male	Astrocytes	Brain (Cingulate Gyrus)	R06C01	206154250078	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195131/suppl/GSM9195131_206154250078_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195131/suppl/GSM9195131_206154250078_R06C01_Red.idat.gz
Astrocytes	GSM9195134	Astrocytes_healthy_PDC128	Female	Astrocytes	Brain (Cingulate Gyrus)	R03C01	206154250088	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195134/suppl/GSM9195134_206154250088_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195134/suppl/GSM9195134_206154250088_R03C01_Red.idat.gz
Astrocytes	GSM9195138	Astrocytes_healthy_20163918	Female	Astrocytes	Brain (Cingulate Gyrus)	R02C01	206154250090	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195138/suppl/GSM9195138_206154250090_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195138/suppl/GSM9195138_206154250090_R02C01_Red.idat.gz
Astrocytes	GSM9195143	Astrocytes_healthy_20131187	Male	Astrocytes	Brain (Cingulate Gyrus)	R05C01	206154250093	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195143/suppl/GSM9195143_206154250093_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195143/suppl/GSM9195143_206154250093_R05C01_Red.idat.gz
Astrocytes	GSM9195148	Astrocytes_healthy_20141901	Female	Astrocytes	Brain (Cingulate Gyrus)	R05C01	206513950089	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195148/suppl/GSM9195148_206513950089_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195148/suppl/GSM9195148_206513950089_R05C01_Red.idat.gz
Astrocytes	GSM9195151	Astrocytes_healthy_CO75	Male	Astrocytes	Brain (Cingulate Gyrus)	R06C01	206513950140	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195151/suppl/GSM9195151_206513950140_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195151/suppl/GSM9195151_206513950140_R06C01_Red.idat.gz
Astrocytes	GSM9195154	Astrocytes_healthy_PDC040	Female	Astrocytes	Brain (Cingulate Gyrus)	R03C01	206513950147	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195154/suppl/GSM9195154_206513950147_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195154/suppl/GSM9195154_206513950147_R03C01_Red.idat.gz
Astrocytes	GSM9195157	Astrocytes_healthy_20163903	Female	Astrocytes	Brain (Cingulate Gyrus)	R03C01	206513950150	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195157/suppl/GSM9195157_206513950150_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195157/suppl/GSM9195157_206513950150_R03C01_Red.idat.gz
Astrocytes	GSM9195163	Astrocytes_healthy_20174936	Male	Astrocytes	Brain (Cingulate Gyrus)	R06C01	206513950168	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195163/suppl/GSM9195163_206513950168_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195163/suppl/GSM9195163_206513950168_R06C01_Red.idat.gz
Astrocytes	GSM9195165	Astrocytes_healthy_20174903	Male	Astrocytes	Brain (Cingulate Gyrus)	R01C01	206513950169	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195165/suppl/GSM9195165_206513950169_R01C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195165/suppl/GSM9195165_206513950169_R01C01_Red.idat.gz
Astrocytes	GSM9195170	Astrocytes_healthy_20150242	Female	Astrocytes	Brain (Cingulate Gyrus)	R04C01	206513950170	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195170/suppl/GSM9195170_206513950170_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195170/suppl/GSM9195170_206513950170_R04C01_Red.idat.gz
Astrocytes	GSM9195175	Astrocytes_healthy_20160475	Male	Astrocytes	Brain (Cingulate Gyrus)	R04C01	206513950184	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195175/suppl/GSM9195175_206513950184_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195175/suppl/GSM9195175_206513950184_R04C01_Red.idat.gz
Astrocytes	GSM9195178	Astrocytes_healthy_PDC107	Female	Astrocytes	Brain (Cingulate Gyrus)	R04C01	206513950186	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195178/suppl/GSM9195178_206513950186_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195178/suppl/GSM9195178_206513950186_R04C01_Red.idat.gz
Astrocytes	GSM9195184	Astrocytes_healthy_20100742	Male	Astrocytes	Brain (Cingulate Gyrus)	R05C01	206513950194	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195184/suppl/GSM9195184_206513950194_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195184/suppl/GSM9195184_206513950194_R05C01_Red.idat.gz
Astrocytes	GSM9195188	Astrocytes_healthy_20196910	Male	Astrocytes	Brain (Cingulate Gyrus)	R07C01	206513950198	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195188/suppl/GSM9195188_206513950198_R07C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195188/suppl/GSM9195188_206513950198_R07C01_Red.idat.gz
