section	metric	value
summary	n_con	18
summary	n_test	19
summary	intersect_up	203775
summary	intersect_down	120931
summary	intersect_native_up	209065
summary	intersect_native_down	125846
summary	primary_result_mode	tier3_ineligible
summary	primary_tier3_batch	Sentrix_ID
summary	primary_tier3_ineligible	True
summary	primary_caf_score	0.9999
summary	primary_dmr_status	ok
summary	primary_lambda_guard_status	triggered
summary	primary_lambda_guard_action	warn
artifact_rows	Minfi_DMRs.csv	49744
artifact_rows	Sesame_DMRs.csv	43448
artifact_rows	Sesame_Native_DMRs.csv	44498
artifact_rows	Intersection_Consensus_DMPs.csv	324706
artifact_rows	Intersection_Native_Consensus_DMPs.csv	334911
strict	logFC_correlation	0.999718181526286
strict	jaccard_overlap	0.972598800673348
strict	n_both	324706.0
native	logFC_correlation	0.999705652933609
native	jaccard_overlap	0.977325851156031
native	n_both	334911.0
