title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	supplementary_file.1	data_row_count	cell type:ch1	Sex:ch1	tissue:ch1
Oligodendrocytes_healthy_20130400	GSM9195114	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Oligodendrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	205854150033_R03C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195114/suppl/GSM9195114_205854150033_R03C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195114/suppl/GSM9195114_205854150033_R03C01_Red.idat.gz	0	Oligodendrocytes	Female	Brain (Cingulate Gyrus)
Astrocytes_healthy_20130400	GSM9195115	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	205854150033_R05C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195115/suppl/GSM9195115_205854150033_R05C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195115/suppl/GSM9195115_205854150033_R05C01_Red.idat.gz	0	Astrocytes	Female	Brain (Cingulate Gyrus)
Microglia_healthy_20130400	GSM9195116	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Microglia	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	205854150033_R06C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195116/suppl/GSM9195116_205854150033_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195116/suppl/GSM9195116_205854150033_R06C01_Red.idat.gz	0	Microglia	Female	Brain (Cingulate Gyrus)
Neurons_healthy_20130400	GSM9195117	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Neurons	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	205854150033_R07C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195117/suppl/GSM9195117_205854150033_R07C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195117/suppl/GSM9195117_205854150033_R07C01_Red.idat.gz	0	Neurons	Female	Brain (Cingulate Gyrus)
Oligodendrocytes_healthy_PDC091	GSM9195118	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Oligodendrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080074_R01C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195118/suppl/GSM9195118_206154080074_R01C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195118/suppl/GSM9195118_206154080074_R01C01_Red.idat.gz	0	Oligodendrocytes	Male	Brain (Cingulate Gyrus)
Astrocytes_healthy_PDC091	GSM9195119	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080074_R02C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195119/suppl/GSM9195119_206154080074_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195119/suppl/GSM9195119_206154080074_R02C01_Red.idat.gz	0	Astrocytes	Male	Brain (Cingulate Gyrus)
Neurons_healthy_PDC091	GSM9195120	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Neurons	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080074_R06C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195120/suppl/GSM9195120_206154080074_R06C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195120/suppl/GSM9195120_206154080074_R06C01_Red.idat.gz	0	Neurons	Male	Brain (Cingulate Gyrus)
Microglia_healthy_PDC091	GSM9195121	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Male	tissue: Brain (Cingulate Gyrus)	cell type: Microglia	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080074_R08C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195121/suppl/GSM9195121_206154080074_R08C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195121/suppl/GSM9195121_206154080074_R08C01_Red.idat.gz	0	Microglia	Male	Brain (Cingulate Gyrus)
Microglia_healthy_20174918	GSM9195122	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Microglia	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080123_R02C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195122/suppl/GSM9195122_206154080123_R02C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195122/suppl/GSM9195122_206154080123_R02C01_Red.idat.gz	0	Microglia	Female	Brain (Cingulate Gyrus)
Astrocytes_healthy_20174918	GSM9195123	Public on Aug 23 2025	Aug 22 2025	Aug 23 2025	genomic	1	Brain (Cingulate Gyrus)	Homo sapiens	Sex: Female	tissue: Brain (Cingulate Gyrus)	cell type: Astrocytes	genomic DNA	Phenol-chloroform DNA extraction	Cy3 and Cy5	Illumina Infinium protocol	9606	Illumina Infinium protocol	Illumina Infinium protocol scanned using Illumina HIScan System	206154080123_R04C01	wateRmelon package (v2.10.0) in R environment (v4.4.1)	GPL21145	Ehsan,,Pishva	e.pishva@maastrichtuniversity.nl	Dementia Systems Biology Group	Psychiatry and Neuropsychology	Maastricht University	Universiteitssingel 40	Maastricht	Limburg	6229 ER	Netherlands	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195123/suppl/GSM9195123_206154080123_R04C01_Grn.idat.gz	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9195nnn/GSM9195123/suppl/GSM9195123_206154080123_R04C01_Red.idat.gz	0	Astrocytes	Female	Brain (Cingulate Gyrus)
