#Archive/File	Name	Time	Size	Type
Archive	GSE306227_RAW.tar	08/23/2025 00:18:32	1265182720	TAR
File	GPL21145_MethylationEPIC_15073387_v-1-0.csv.gz	11/16/2015 16:25:12	169013044	CSV
File	GSM9195114_205854150033_R03C01_Grn.idat.gz	08/22/2025 12:43:44	7326001	IDAT
File	GSM9195114_205854150033_R03C01_Red.idat.gz	08/22/2025 12:43:45	7332786	IDAT
File	GSM9195115_205854150033_R05C01_Grn.idat.gz	08/22/2025 12:43:45	7353739	IDAT
File	GSM9195115_205854150033_R05C01_Red.idat.gz	08/22/2025 12:43:46	7344036	IDAT
File	GSM9195116_205854150033_R06C01_Grn.idat.gz	08/22/2025 12:43:47	7361539	IDAT
File	GSM9195116_205854150033_R06C01_Red.idat.gz	08/22/2025 12:43:47	7348587	IDAT
File	GSM9195117_205854150033_R07C01_Grn.idat.gz	08/22/2025 12:43:48	7379483	IDAT
File	GSM9195117_205854150033_R07C01_Red.idat.gz	08/22/2025 12:43:48	7372199	IDAT
File	GSM9195118_206154080074_R01C01_Grn.idat.gz	08/22/2025 12:43:49	7226450	IDAT
File	GSM9195118_206154080074_R01C01_Red.idat.gz	08/22/2025 12:43:50	7275463	IDAT
File	GSM9195119_206154080074_R02C01_Grn.idat.gz	08/22/2025 12:43:50	7229284	IDAT
File	GSM9195119_206154080074_R02C01_Red.idat.gz	08/22/2025 12:43:51	7307383	IDAT
File	GSM9195120_206154080074_R06C01_Grn.idat.gz	08/22/2025 12:43:52	7283750	IDAT
File	GSM9195120_206154080074_R06C01_Red.idat.gz	08/22/2025 12:43:52	7330344	IDAT
File	GSM9195121_206154080074_R08C01_Grn.idat.gz	08/22/2025 12:43:53	7290347	IDAT
File	GSM9195121_206154080074_R08C01_Red.idat.gz	08/22/2025 12:43:54	7310564	IDAT
File	GSM9195122_206154080123_R02C01_Grn.idat.gz	08/22/2025 12:43:54	7240158	IDAT
File	GSM9195122_206154080123_R02C01_Red.idat.gz	08/22/2025 12:43:55	7340024	IDAT
File	GSM9195123_206154080123_R04C01_Grn.idat.gz	08/22/2025 12:43:56	7272458	IDAT
File	GSM9195123_206154080123_R04C01_Red.idat.gz	08/22/2025 12:43:56	7360670	IDAT
File	GSM9195124_206154080123_R07C01_Grn.idat.gz	08/22/2025 12:43:57	7281888	IDAT
File	GSM9195124_206154080123_R07C01_Red.idat.gz	08/22/2025 12:43:58	7359612	IDAT
File	GSM9195125_206154080123_R08C01_Grn.idat.gz	08/22/2025 12:43:58	7285468	IDAT
File	GSM9195125_206154080123_R08C01_Red.idat.gz	08/22/2025 12:43:59	7332085	IDAT
File	GSM9195126_206154250020_R03C01_Grn.idat.gz	08/22/2025 12:44:00	7296262	IDAT
File	GSM9195126_206154250020_R03C01_Red.idat.gz	08/22/2025 12:44:01	7355382	IDAT
File	GSM9195127_206154250020_R05C01_Grn.idat.gz	08/22/2025 12:44:02	7305534	IDAT
File	GSM9195127_206154250020_R05C01_Red.idat.gz	08/22/2025 12:44:03	7396169	IDAT
File	GSM9195128_206154250020_R08C01_Grn.idat.gz	08/22/2025 12:44:03	7317895	IDAT
File	GSM9195128_206154250020_R08C01_Red.idat.gz	08/22/2025 12:44:04	7387027	IDAT
File	GSM9195129_206154250078_R03C01_Grn.idat.gz	08/22/2025 12:44:05	7263222	IDAT
File	GSM9195129_206154250078_R03C01_Red.idat.gz	08/22/2025 12:44:05	7364644	IDAT
File	GSM9195130_206154250078_R04C01_Grn.idat.gz	08/22/2025 12:44:06	7278387	IDAT
File	GSM9195130_206154250078_R04C01_Red.idat.gz	08/22/2025 12:44:07	7370425	IDAT
File	GSM9195131_206154250078_R06C01_Grn.idat.gz	08/22/2025 12:44:08	7303300	IDAT
File	GSM9195131_206154250078_R06C01_Red.idat.gz	08/22/2025 12:44:09	7372652	IDAT
File	GSM9195132_206154250078_R07C01_Grn.idat.gz	08/22/2025 12:44:09	7311146	IDAT
File	GSM9195132_206154250078_R07C01_Red.idat.gz	08/22/2025 12:44:10	7366010	IDAT
File	GSM9195133_206154250088_R01C01_Grn.idat.gz	08/22/2025 12:44:11	7216113	IDAT
File	GSM9195133_206154250088_R01C01_Red.idat.gz	08/22/2025 12:44:12	7222887	IDAT
File	GSM9195134_206154250088_R03C01_Grn.idat.gz	08/22/2025 12:44:12	7227616	IDAT
File	GSM9195134_206154250088_R03C01_Red.idat.gz	08/22/2025 12:44:13	7306988	IDAT
File	GSM9195135_206154250088_R04C01_Grn.idat.gz	08/22/2025 12:44:14	7240082	IDAT
File	GSM9195135_206154250088_R04C01_Red.idat.gz	08/22/2025 12:44:15	7317480	IDAT
File	GSM9195136_206154250088_R06C01_Grn.idat.gz	08/22/2025 12:44:15	7262303	IDAT
File	GSM9195136_206154250088_R06C01_Red.idat.gz	08/22/2025 12:44:16	7333936	IDAT
File	GSM9195137_206154250090_R01C01_Grn.idat.gz	08/22/2025 12:44:17	7211330	IDAT
File	GSM9195137_206154250090_R01C01_Red.idat.gz	08/22/2025 12:44:17	7297730	IDAT
File	GSM9195138_206154250090_R02C01_Grn.idat.gz	08/22/2025 12:44:18	7215394	IDAT
File	GSM9195138_206154250090_R02C01_Red.idat.gz	08/22/2025 12:44:19	7305153	IDAT
File	GSM9195139_206154250090_R04C01_Grn.idat.gz	08/22/2025 12:44:19	7251129	IDAT
File	GSM9195139_206154250090_R04C01_Red.idat.gz	08/22/2025 12:44:20	7317473	IDAT
File	GSM9195140_206154250090_R08C01_Grn.idat.gz	08/22/2025 12:44:20	7258878	IDAT
File	GSM9195140_206154250090_R08C01_Red.idat.gz	08/22/2025 12:44:21	7360007	IDAT
File	GSM9195141_206154250093_R03C01_Grn.idat.gz	08/22/2025 12:44:22	7260021	IDAT
File	GSM9195141_206154250093_R03C01_Red.idat.gz	08/22/2025 12:44:23	7347101	IDAT
File	GSM9195142_206154250093_R04C01_Grn.idat.gz	08/22/2025 12:44:24	7284335	IDAT
File	GSM9195142_206154250093_R04C01_Red.idat.gz	08/22/2025 12:44:25	7378854	IDAT
File	GSM9195143_206154250093_R05C01_Grn.idat.gz	08/22/2025 12:44:25	7311556	IDAT
File	GSM9195143_206154250093_R05C01_Red.idat.gz	08/22/2025 12:44:26	7399367	IDAT
File	GSM9195144_206154250093_R07C01_Grn.idat.gz	08/22/2025 12:44:27	7320160	IDAT
File	GSM9195144_206154250093_R07C01_Red.idat.gz	08/22/2025 12:44:28	7391866	IDAT
File	GSM9195145_206513950089_R01C01_Grn.idat.gz	08/22/2025 12:44:29	7265990	IDAT
File	GSM9195145_206513950089_R01C01_Red.idat.gz	08/22/2025 12:44:29	7405572	IDAT
File	GSM9195146_206513950089_R02C01_Grn.idat.gz	08/22/2025 12:44:30	7292850	IDAT
