"column","dtype_guess","missing_count","missing_frac","unique_non_missing","example_values"
"primary_group","categorical",0,0,2,"AD;AD;AD"
"geo_accession","categorical",0,0,31,"GSM2808876;GSM2808878;GSM2808880"
"cell_type","categorical",0,0,1,"Neuron;Neuron;Neuron"
"diagnosis","categorical",0,0,2,"AD;AD;AD"
"braak_stage","numeric",0,0,4,"6;6;6"
"brain_region","categorical",0,0,1,"Occipital cortex;Occipital cortex;Occipital cortex"
"age","numeric",0,0,17,"78;76;75"
"sex","categorical",0,0,2,"F;M;F"
"donor_id","categorical",0,0,31,"Dnr01;Dnr02;Dnr03"
"Sentrix_ID","categorical",0,0,9,"8918692108;8918692108;8918692108"
"Sentrix_Position","categorical",0,0,9,"R01C01;R02C01;R03C01"
"source_name_ch1","categorical",0,0,1,"Occipital Cortex;Occipital Cortex;Occipital Cortex"
"description","categorical",0,0,1,"Fresh frozen human post-mortem brain tissue from occipital cortex separated into neuron- and glia-specific fractions.;Fresh frozen human post-mortem brain tissue from occipital cortex separated into neuron- and glia-specific fractions.;Fresh frozen human post-mortem brain tissue from occipital cortex separated into neuron- and glia-specific fractions."
