"metric","value"
"pipeline","Sesame"
"lambda","1.01745843536807"
"lambda_guard_status","ok"
"lambda_guard_action","warn"
"lambda_guard_threshold","1.5"
"lambda_guard_lambda",NA
"primary_result_mode","tier3_ineligible"
"no_signal","TRUE"
"no_signal_reason","no_significant_dmps_after_thresholds"
"tier3_batch","Sentrix_ID"
"tier3_primary_lambda",NA
"tier3_low_power","FALSE"
"tier3_ineligible","TRUE"
"tier3_meta_method",""
"tier3_meta_i2_median",NA
"batch_method_applied","none"
"batch_candidate",""
"batch_tier",""
"n_samples","31"
"n_cpgs","240185"
"n_covariates_used","5"
"covariates_used","age;sex;Sentrix_Position;Cell_Latent1;Cell_Latent2"
"n_sv_used","1"
"sv_used","SV1"
"batch_sig_p_lt_0.05_before","3"
"batch_min_p_before","4.53759222406038e-07"
"batch_sig_p_lt_0.05_after","0"
"batch_min_p_after","0.0926389953413477"
"group_min_p_before","0.00303041944695324"
"group_min_p_after","1.93361514401673e-06"
"pvca_ci_before",NA
"pvca_ci_after",NA
"dropped_covariates","Sentrix_ID;Cell_Latent3;Cell_Latent5;Cell_Latent4;SV1;SV2"
"perm_mean_sig",NA
"perm_max_sig",NA
"perm_ks_p_median",NA
"perm_lambda_median",NA
"vp_primary_group_mean",NA
"lambda_vp_top",NA
"caf_score","0.958758379828843"
"caf_calibration_score",NA
"caf_preservation_score","0.929300079706589"
"caf_batch_score","1"
"caf_ncs_score",NA
"lambda_ratio",NA
"logFC_corr_all","0.929300079706589"
"logFC_spearman_all","0.912131109836908"
"delta_beta_corr_all","1"
"sign_concordance_all","0.879309698773862"
"sign_concordance_sig",NA
"sig_jaccard",NA
"top_n","1000"
"top_overlap","570"
"top_jaccard","0.398601398601399"
"top_logFC_corr","0.98790498364272"
