"Batch","Group","N","Pass_Group_Min","Batch_Pass","Total_N","Min_Group_N","Eligible","Fail_Reason"
"3998919115","CTRL",3,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"3998919116","CTRL",2,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"3998920130","CTRL",2,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"8221932039","CTRL",5,TRUE,NA,31,1,FALSE,"stratum_group_lt_min"
"8918692108","CTRL",1,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"8918692120","CTRL",0,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"9247377036","CTRL",1,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"9247377057","CTRL",1,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"9297953052","CTRL",1,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"3998919115","AD",2,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"3998919116","AD",3,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"3998920130","AD",2,FALSE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"8221932039","AD",0,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"8918692108","AD",5,TRUE,FALSE,31,1,FALSE,"stratum_group_lt_min"
"8918692120","AD",3,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"9247377036","AD",0,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"9247377057","AD",0,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
"9297953052","AD",0,FALSE,NA,31,1,FALSE,"stratum_group_lt_min"
