"timestamp"	"stage"	"decision"	"value"	"reason"	"metrics"
"2026-05-21 22:58:19"	"config"	"preset"	"conservative"	"default"	""
"2026-05-21 22:58:23"	"crf"	"sample_tier"	"moderate"	"sample_size_adaptive"	"total_n=31;min_per_group=15"
"2026-05-21 22:58:52"	"qc"	"cross_reactive_list"	"loaded"	"/home/keunsoo/Projects/23_illumeta/.omx/team/reframe-the-illumeta-203c3847/worktrees/worker-1/projects/GSE66351/references/probe_blacklists/cross_reactive_450K.tsv"	"n=38942"
"2026-05-21 23:01:56"	"qc"	"sex_mismatch_action"	"stop"	"enabled"	"mismatch_count=0"
"2026-05-21 23:02:40"	"qc"	"cross_reactive_removed"	"38638"	"list"	""
"2026-05-21 23:05:26"	"auto_covariates"	"age"	"selected"	"pc_association"	""
"2026-05-21 23:05:26"	"auto_covariates"	"Cell_Latent3"	"selected"	"pc_association"	""
"2026-05-21 23:05:34"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-21 23:05:34"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=31;min_stratum_n=1"
"2026-05-21 23:08:07"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-21 23:08:23"	"crf"	"report"	"generated"	"moderate"	""
"2026-05-21 23:08:39"	"auto_covariates"	"Cell_Latent3"	"excluded"	"collinearity"	""
"2026-05-21 23:08:39"	"auto_covariates"	"age"	"selected"	"pc_association"	""
"2026-05-21 23:08:39"	"auto_covariates"	"Cell_Latent1"	"selected"	"pc_association"	""
"2026-05-21 23:08:39"	"auto_covariates"	"Cell_Latent2"	"selected"	"pc_association"	""
"2026-05-21 23:08:39"	"auto_covariates"	"Cell_Latent3"	"excluded"	"excluded_collinearity"	""
"2026-05-21 23:08:39"	"auto_covariates"	"Cell_Latent5"	"selected"	"pc_association"	""
"2026-05-21 23:09:01"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-21 23:09:01"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=31;min_stratum_n=1"
"2026-05-21 23:11:10"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-21 23:11:24"	"crf"	"report"	"generated"	"moderate"	""
"2026-05-21 23:11:43"	"auto_covariates"	"Cell_Latent3"	"excluded"	"collinearity"	""
"2026-05-21 23:11:43"	"auto_covariates"	"age"	"selected"	"pc_association"	""
"2026-05-21 23:11:43"	"auto_covariates"	"Cell_Latent1"	"selected"	"pc_association"	""
"2026-05-21 23:11:43"	"auto_covariates"	"Cell_Latent2"	"selected"	"pc_association"	""
"2026-05-21 23:11:43"	"auto_covariates"	"Cell_Latent3"	"excluded"	"excluded_collinearity"	""
"2026-05-21 23:11:43"	"auto_covariates"	"Cell_Latent5"	"selected"	"pc_association"	""
"2026-05-21 23:11:58"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-21 23:11:59"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=31;min_stratum_n=1"
"2026-05-21 23:14:12"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-21 23:14:26"	"crf"	"report"	"generated"	"moderate"	""
"2026-05-21 23:14:41"	"consensus"	"primary_branch"	"Minfi"	"best_candidate_score"	""
