"metric","value"
"pipeline","Minfi"
"lambda","0.926590458015778"
"lambda_guard_status","ok"
"lambda_guard_action","warn"
"lambda_guard_threshold","1.5"
"lambda_guard_lambda",NA
"primary_result_mode","tier3_ineligible"
"no_signal","FALSE"
"no_signal_reason",""
"tier3_batch","Sentrix_ID"
"tier3_primary_lambda",NA
"tier3_low_power","FALSE"
"tier3_ineligible","TRUE"
"tier3_meta_method",""
"tier3_meta_i2_median",NA
"batch_method_applied","none"
"batch_candidate",""
"batch_tier",""
"n_samples","31"
"n_cpgs","278862"
"n_covariates_used","5"
"covariates_used","age;sex;Sentrix_Position;Cell_Latent3;Cell_Latent4"
"n_sv_used","1"
"sv_used","SV1"
"batch_sig_p_lt_0.05_before","4"
"batch_min_p_before","6.77009498094885e-05"
"batch_sig_p_lt_0.05_after","1"
"batch_min_p_after","0.0471766938181341"
"group_min_p_before","0.0127637586762053"
"group_min_p_after","1.93361514401673e-06"
"pvca_ci_before",NA
"pvca_ci_after",NA
"dropped_covariates","Sentrix_ID;Cell_Latent1;Cell_Latent2;SV1;Cell_Latent5"
"perm_mean_sig",NA
"perm_max_sig",NA
"perm_ks_p_median",NA
"perm_lambda_median",NA
"vp_primary_group_mean",NA
"lambda_vp_top",NA
"caf_score","0.806370590376869"
"caf_calibration_score",NA
"caf_preservation_score","0.846635297788918"
"caf_batch_score","0.75"
"caf_ncs_score",NA
"lambda_ratio",NA
"logFC_corr_all","0.846635297788918"
"logFC_spearman_all","0.826170417662977"
"delta_beta_corr_all","1"
"sign_concordance_all","0.839275340490996"
"sign_concordance_sig","1"
"sig_jaccard","0"
"top_n","1000"
"top_overlap","334"
"top_jaccard","0.200480192076831"
"top_logFC_corr","0.979351304259318"
