"timestamp"	"stage"	"decision"	"value"	"reason"	"metrics"
"2026-05-21 23:00:11"	"config"	"preset"	"conservative"	"default"	""
"2026-05-21 23:00:15"	"crf"	"sample_tier"	"moderate"	"sample_size_adaptive"	"total_n=31;min_per_group=15"
"2026-05-21 23:00:45"	"qc"	"cross_reactive_list"	"loaded"	"/home/keunsoo/Projects/23_illumeta/projects/GSE66351/references/probe_blacklists/cross_reactive_450K.tsv"	"n=38942"
"2026-05-21 23:03:51"	"qc"	"sex_mismatch_action"	"stop"	"enabled"	"mismatch_count=0"
"2026-05-21 23:04:35"	"qc"	"cross_reactive_removed"	"38638"	"list"	""
"2026-05-21 23:04:53"	"auto_covariates"	"age"	"selected"	"pc_association"	""
"2026-05-21 23:04:53"	"auto_covariates"	"Cell_Latent3"	"selected"	"pc_association"	""
"2026-05-21 23:05:04"	"confounding"	"tier3_batch"	"Sentrix_ID,Sentrix_Position"	"non_identifiable_overlap"	""
"2026-05-21 23:05:04"	"tier3"	"eligibility"	"fail"	"stratum_group_lt_min"	"total_n=31;min_stratum_n=1"
"2026-05-21 23:08:08"	"tier3"	"skipped"	"ineligible"	"stratum_group_lt_min"	""
"2026-05-21 23:08:24"	"crf"	"report"	"generated"	"moderate"	""
