"chr","start","end","n","B","S","estimate","se","z","p.value","number.tests","p.adjust","Genes","Regions","Delta_Beta"
"chr10",88428026,88428257,7,2.64307352924224,0.135775496235514,2.64307352924224,0.135775496235514,19.4664987609959,2.11224794227478e-84,266988,5.6394485361206e-79,"LDB3","TSS200;1stExon;5'UTR;TSS1500",-0.0272597228771254
"chr2",70188512,70188605,3,14.5311471092638,1.06699552150376,14.5311471092638,1.06699552150376,13.6187517345758,3.09817931120721e-42,266988,8.27176697940589e-37,"ASPRV1","1stExon",-0.0324524065525169
"chr7",95025740,95026106,13,-12.7486672420921,1.0753760702964,-12.7486672420921,1.0753760702964,-11.8550780459326,2.02535431066273e-32,266988,5.4074529669522e-27,"PON3","TSS1500;TSS200",-0.0124902233833415
"chr11",94278413,94278603,6,-10.9268489269528,0.923913311140421,-10.9268489269528,0.923913311140421,-11.826703647624,2.84080110049328e-32,266988,7.58459804218501e-27,"FUT4","1stExon",0.00434030550782794
"chr11",495069,495198,3,9.23775570747521,0.797281801005573,9.23775570747521,0.797281801005573,11.5865628637504,4.82092575345808e-31,266988,1.28712932506426e-25,"RNH1","Body",-0.0422825333367694
"chr21",46340776,46341006,3,5.57119544820402,0.569857528750629,5.57119544820402,0.569857528750629,9.77647072667173,1.42078594255734e-22,266988,3.793327972315e-17,"ITGB2","5'UTR;1stExon;TSS200",-0.0210393248830812
"chr22",43166139,43166347,3,-10.538810355732,1.08954556007496,-10.538810355732,1.08954556007496,-9.67266605630241,3.93978326700861e-22,266988,1.05187485489209e-16,"","",-0.0137945159526188
"chr17",8301118,8301192,3,-15.8103401636791,1.7430075684527,-15.8103401636791,1.7430075684527,-9.07072375922857,1.18229039691557e-19,266988,3.15657348491695e-14,"RNF222","TSS200;1stExon;5'UTR",-0.0159552461871774
"chr2",236761021,236761068,2,4.3264124154742,0.477980709028361,4.3264124154742,0.477980709028361,9.0514372939212,1.41098682467191e-19,266988,3.76716550345503e-14,"AGAP1","Body",-0.051040268478697
"chr7",2742274,2742433,4,11.2756821227763,1.28247638196923,11.2756821227763,1.28247638196923,8.79211678382928,1.46768091851995e-18,266988,3.91853193073805e-13,"AMZ1","Body",-0.0558078629816508
"chr3",125775413,125775613,2,10.0122132201815,1.18810087114985,10.0122132201815,1.18810087114985,8.42707337676777,3.54417628558767e-17,266988,9.46252538136482e-12,"SLC41A3","Body;5'UTR;1stExon",-0.0283740926292878
"chr10",124638991,124639260,8,-18.4839500538671,2.20264684154124,-18.4839500538671,2.20264684154124,-8.39169934338338,4.79165016652204e-17,266988,1.27931309465939e-11,"LOC399815;FAM24B","Body;TSS200;5'UTR;1stExon",0.0136690678965805
"chr13",97646736,97646811,5,-23.2959944712396,2.90478120589656,-23.2959944712396,2.90478120589656,-8.01987923357186,1.0584918120603e-15,266988,2.82604611918355e-10,"OXGR1","TSS200;TSS1500",-0.0366337978875865
"chr6",31846769,31846996,6,-10.5708908007748,1.34698058300083,-10.5708908007748,1.34698058300083,-7.84784200617408,4.23256947741851e-15,266988,1.13004525963701e-09,"SLC44A4","TSS200;5'UTR;1stExon",-0.0311169057254519
"chr13",111281129,111281384,4,-9.33453643343846,1.20320443293521,-9.33453643343846,1.20320443293521,-7.75806353261757,8.62359517670215e-15,266988,2.30239642903735e-09,"CARKD","Body",0.00246043877813057
"chr12",104697532,104697545,2,-38.1046866264902,4.96439931577842,-38.1046866264902,4.96439931577842,-7.6755885662504,1.64660840242411e-14,266988,4.39624684146407e-09,"TXNRD1;EID3","5'UTR;Body;TSS200",-0.0204128039468202
"chr6",169104488,169104540,2,10.6351867659044,1.40427618044758,10.6351867659044,1.40427618044758,7.57342958171848,3.63497785371803e-14,266988,9.70495467208469e-09,"","",-0.0297733833369626
"chr14",73712256,73712967,5,-12.9702977057946,1.71987596400675,-12.9702977057946,1.71987596400675,-7.54141460037505,4.64900481573124e-14,266988,1.24122849774245e-08,"PAPLN","Body",-0.0286851577814155
"chr2",115419729,115419846,3,-8.62231527023419,1.14866665445412,-8.62231527023419,1.14866665445412,-7.50636856811324,6.07901110101763e-14,266988,1.6230230158385e-08,"DPP10","Body",-0.0638323987644162
"chr6",29626990,29627167,4,12.6380016146617,1.71923518147459,12.6380016146617,1.71923518147459,7.35094404235152,1.96811808117867e-13,266988,5.25463910257732e-08,"MOG","Body",-0.0258211194123112
"chr1",223566643,223567002,7,-13.0011148630959,1.79564468470823,-13.0011148630959,1.79564468470823,-7.24036050885447,4.47493630747397e-13,266988,1.19475429485986e-07,"C1orf65","5'UTR;1stExon;TSS200",-0.0573222337451728
"chr21",47808878,47809043,3,-4.1119889875543,0.570521482969569,-4.1119889875543,0.570521482969569,-7.20742182424291,5.70211557538172e-13,266988,1.52239643324002e-07,"PCNT","Body",0.0165331569535664
"chr14",24780540,24780682,4,-11.0794660755879,1.57202619738058,-11.0794660755879,1.57202619738058,-7.04788895633502,1.81652505656578e-12,266988,4.84990391802384e-07,"LTB4R2;CIDEB;LTB4R","Body;1stExon;TSS200;5'UTR",-0.0288094005486085
"chr2",158453600,158454110,5,-9.31918078236496,1.32895631434295,-9.31918078236496,1.32895631434295,-7.01240566133465,2.34254812120675e-12,266988,6.25432237784749e-07,"ACVR1C","Body;5'UTR;TSS200",-0.0120976975811924
"chr6",31649089,31649307,4,-28.8540372348695,4.12572206007105,-28.8540372348695,4.12572206007105,-6.99369390733329,2.67741372776185e-12,266988,7.14837336347682e-07,"LY6G5C","TSS1500",-0.00307190034933098
"chr13",113698621,113699016,8,18.6266005516467,2.66435993839335,18.6266005516467,2.66435993839335,6.99102260292909,2.72889787363469e-12,266988,7.28582985485978e-07,"MCF2L","Body",0.0332046803555566
"chr15",31394021,31394285,3,4.48887211018122,0.644313029413581,4.48887211018122,0.644313029413581,6.96691189726017,3.23973408575396e-12,266988,8.64970124087277e-07,"TRPM1","TSS1500;TSS200",-0.0449266536215201
"chr5",1405588,1405774,2,-18.6059072455166,2.68727125181013,-18.6059072455166,2.68727125181013,-6.92371759381706,4.39942535376534e-12,266988,1.1745937763511e-06,"SLC6A3","Body",-0.0131870773134847
"chr13",113436568,113436651,2,7.32175135107744,1.06173947705933,7.32175135107744,1.06173947705933,6.89599615468411,5.348864220138e-12,266988,1.42808256040621e-06,"ATP11A","Body",-0.0374978126367774
"chr2",87016129,87016436,3,-19.6573289982905,2.87120956298261,-19.6573289982905,2.87120956298261,-6.84635815223131,7.57536855612331e-12,266988,2.02253250006225e-06,"CD8A","Body",-0.0019657574648131
"chr15",93616894,93617168,12,-5.67007604474711,0.830439714943867,-5.67007604474711,0.830439714943867,-6.82779970985657,8.6226854056876e-12,266988,2.30215353109372e-06,"RGMA","1stExon;Body;5'UTR;TSS200;TSS1500",-0.028298538927513
"chr12",1974122,1974168,2,-11.9667812861713,1.75837650137268,-11.9667812861713,1.75837650137268,-6.80558530942004,1.0063922056442e-11,266988,2.68694642200533e-06,"CACNA2D4","Body",-0.0328391424337943
"chr14",104854711,104854974,4,-2.94766410741546,0.433615648104765,-2.94766410741546,0.433615648104765,-6.797873001814,1.06174983759508e-11,266988,2.83474465639835e-06,"","",0.0057962918664371
"chr7",101630546,101630650,3,-7.05856904393584,1.04841697998439,-7.05856904393584,1.04841697998439,-6.73259702837029,1.66661173377281e-11,266988,4.44965333576535e-06,"CUX1","Body",0.0114556740629056
"chr5",98175255,98175367,2,-9.87045880418014,1.47446051448663,-9.87045880418014,1.47446051448663,-6.69428493147324,2.16728769714255e-11,266988,5.78639807684694e-06,"","",-0.0754265632940088
"chr7",22766657,22766829,2,-8.26379005618351,1.23497702993786,-8.26379005618351,1.23497702993786,-6.69145243664923,2.20966324887876e-11,266988,5.89953571491642e-06,"IL6","5'UTR;1stExon;TSS200",-0.045135634081427
"chr12",14109211,14109514,2,12.4448962389513,1.87721167786032,12.4448962389513,1.87721167786032,6.62945814035008,3.36921360426084e-11,266988,8.99539601774393e-06,"GRIN2B","5'UTR",0.0228707115064943
"chr6",33129765,33129988,4,-12.8732076339646,1.95799770251175,-12.8732076339646,1.95799770251175,-6.57467964209083,4.87580309614539e-11,266988,1.30178091703366e-05,"","",-0.0172275929170327
"chr12",132219328,132219811,3,-7.03738224049895,1.08013973072389,-7.03738224049895,1.08013973072389,-6.51525172190694,7.25678599155583e-11,266988,1.93747477831351e-05,"SFRS8","Body",-0.062017789940467
"chr6",30711580,30712517,25,-5.74708251052099,0.894021901112494,-5.74708251052099,0.894021901112494,-6.42834644584153,1.28999472050835e-10,266988,3.44413110439084e-05,"IER3;FLOT1","Body;TSS200;3'UTR;TSS1500;1stExon",-0.00295661446723358
"chr11",61522178,61523045,8,7.83179545712677,1.21963353551437,7.83179545712677,1.21963353551437,6.42143334786523,1.34997120496173e-10,266988,3.60426112070322e-05,"C11orf9;DKFZP434K028","Body;TSS1500;TSS200",-0.0345461606229377
"chr14",23846479,23846906,2,6.61343767324691,1.03565630103998,6.61343767324691,1.03565630103998,6.38574560556998,1.70564348003871e-10,266988,4.55386341448576e-05,"CMTM5","1stExon;Body",-0.0399471922796737
"chr16",88164558,88164581,2,-11.7241269717017,1.83803704963698,-11.7241269717017,1.83803704963698,-6.37861297410583,1.78698997855725e-10,266988,4.77104880395043e-05,"","",-0.0386942695684822
"chr16",902736,903073,2,9.18310108546165,1.44625998352881,9.18310108546165,1.44625998352881,6.34955069631069,2.15944694983676e-10,266988,5.76546422243017e-05,"","",-0.0357784323733091
"chr6",74104600,74104801,2,-13.1112565222043,2.0773629407875,-13.1112565222043,2.0773629407875,-6.31149052713632,2.76360720467588e-10,266988,7.37849960362004e-05,"DDX43","1stExon;5'UTR",-0.028098587298886
"chr17",9862752,9863061,5,-7.33013020167409,1.17634808812437,-7.33013020167409,1.17634808812437,-6.23125950190612,4.62699906034136e-10,266988,0.000123535322512242,"GAS7","Body;5'UTR;1stExon;TSS200;TSS1500",0.01821811805022
"chr1",854951,854966,2,-5.17966711729559,0.834576232140855,-5.17966711729559,0.834576232140855,-6.20634391181822,5.42314316416805e-10,266988,0.00014479141471149,"FLJ39609","TSS200",-0.0745522405587409
"chr1",201915709,201915873,3,-28.0313189138634,4.52073594164119,-28.0313189138634,4.52073594164119,-6.2006096519955,5.62448568037522e-10,266988,0.000150167018283202,"LMOD1","TSS200;1stExon;5'UTR",-0.0140794799127851
"chr5",172097064,172097289,2,-27.5303173604507,4.50947771581408,-27.5303173604507,4.50947771581408,-6.10499022179572,1.02806975535194e-09,266988,0.000274482287841905,"NEURL1B","Body",-0.0116683463022033
"chr18",74728931,74728959,2,6.36483522229647,1.05206780583256,6.36483522229647,1.05206780583256,6.04983365806887,1.44995467473801e-09,266988,0.000387120498698952,"MBP","1stExon;Body",-0.0358605923359771
"chr11",32421518,32421845,5,-11.1614449675754,1.87338678425146,-11.1614449675754,1.87338678425146,-5.95789671487147,2.55504905081115e-09,266988,0.000682167435977968,"WT1","Body",-0.0326359793631141
