"chr","start","end","n","B","S","estimate","se","z","p.value","number.tests","p.adjust","Genes","Regions","Delta_Beta"
"chr10",88428026,88428257,7,2.62205523866628,0.14888164096726,2.62205523866628,0.14888164096726,17.6116761047986,2.00421389556299e-69,258280,5.1764836494601e-64,"LDB3","TSS200;1stExon;5'UTR;TSS1500",-0.0272597228771254
"chr2",70188512,70188605,3,14.4494876186241,0.964950924304763,14.4494876186241,0.964950924304763,14.9743238279551,1.08061272476263e-50,258280,2.79100654551692e-45,"ASPRV1","1stExon",-0.0324524065525169
"chr11",94278413,94278603,6,-10.9223354497411,0.88248341813987,-10.9223354497411,0.88248341813987,-12.3768166349954,3.48909373068279e-35,258280,9.0116312876075e-30,"FUT4","1stExon",0.00434030550782794
"chr7",95025740,95026106,13,-12.7620194299135,1.07366241719847,-12.7620194299135,1.07366241719847,-11.8864358344718,1.39221860540664e-32,258280,3.59582221404427e-27,"PON3","TSS1500;TSS200",-0.0124902233833415
"chr11",495069,495198,3,9.28588402564306,0.84755514618465,9.28588402564306,0.84755514618465,10.9560824064892,6.21310983510975e-28,258280,1.60472200821214e-22,"RNH1","Body",-0.0422825333367694
"chr21",46340776,46341006,3,5.56462187548314,0.57299327459783,5.56462187548314,0.57299327459783,9.71149596718882,2.69354399450977e-22,258280,6.95688542901983e-17,"ITGB2","5'UTR;1stExon;TSS200",-0.0210393248830812
"chr22",43166139,43166347,3,-10.526665475462,1.09624140999868,-10.526665475462,1.09624140999868,-9.60250669191071,7.80233866357031e-22,258280,2.01518803002694e-16,"","",-0.0137945159526188
"chr7",2742274,2742433,4,11.22049748099,1.18293965968163,11.22049748099,1.18293965968163,9.48526612423305,2.41765380640627e-21,258280,6.24431625118611e-16,"AMZ1","Body",-0.0558078629816508
"chr2",236761021,236761068,2,4.32858260152963,0.474256997433172,4.32858260152963,0.474256997433172,9.12708220428434,7.03702827602457e-20,258280,1.81752366313163e-14,"AGAP1","Body",-0.051040268478697
"chr17",8301118,8301192,3,-15.8477257008943,1.75987396689598,-15.8477257008943,1.75987396689598,-9.00503445076015,2.15598112004512e-19,258280,5.56846803685254e-14,"RNF222","TSS200;1stExon;5'UTR",-0.0159552461871774
