"chr","start","end","n","B","S","estimate","se","z","p.value","number.tests","p.adjust","Genes","Regions","Delta_Beta"
"chr6",74104388,74104801,5,-9.31356089252765,0.564300271013557,-9.31356089252765,0.564300271013557,-16.5046188544253,3.39872153026518e-61,294857,1.0021368342494e-55,"DDX43","1stExon;5'UTR",-0.0244645248919204
"chr8",120684968,120685129,3,9.5342672462261,0.736661585137401,9.5342672462261,0.736661585137401,12.9425335032881,2.58946978300637e-38,294857,7.6352329180791e-33,"","",-0.0382101230689748
"chr7",95025829,95026106,12,-13.764775925001,1.21367870054597,-13.764775925001,1.21367870054597,-11.3413672982882,8.18554378385094e-30,294857,2.41356488347494e-24,"PON3","TSS1500;TSS200",-0.0102433967503483
"chr13",97646341,97646811,8,-22.4972376505508,2.04955513860908,-22.4972376505508,2.04955513860908,-10.9766442613583,4.94970383730109e-28,294857,1.45945482435509e-22,"OXGR1","TSS200;5'UTR;TSS1500",-0.0423039493172131
"chr1",247802703,247803033,6,-12.4838623254599,1.36438910824812,-12.4838623254599,1.36438910824812,-9.14978157623169,5.7048777789479e-20,294857,1.68212314726724e-14,"","",-0.0335817227101267
"chr14",73712256,73712967,5,-12.8386856503249,1.47040371311526,-12.8386856503249,1.47040371311526,-8.73140181557645,2.51535329186472e-18,294857,7.41669525579356e-13,"PAPLN","Body",-0.0239561712317074
"chr2",233250370,233250571,2,-17.7747198637911,2.13048707263631,-17.7747198637911,2.13048707263631,-8.34303108058587,7.24101247445865e-17,294857,2.13506321518146e-11,"ECEL1P2","Body",-0.0564038791762274
"chr10",124638991,124639260,8,-21.8379866080883,2.61840186756408,-21.8379866080883,2.61840186756408,-8.34019669731,7.41670604890449e-17,294857,2.18686769546183e-11,"LOC399815;FAM24B","Body;TSS200;5'UTR;1stExon",0.0136779858291128
"chr7",54900936,54901239,3,-9.87904268793677,1.3225445439637,-9.87904268793677,1.3225445439637,-7.46972397491357,8.03632142828544e-14,294857,2.36956562737996e-08,"","",0.0038088692281378
"chr11",66326798,66327250,3,-11.3329805209177,1.58268911368538,-11.3329805209177,1.58268911368538,-7.16058537518352,8.03332807159088e-13,294857,2.36868301520507e-07,"ACTN3","Body",-0.0147435750314253
"chr2",48844916,48844971,2,-28.4073130543119,3.98106111774241,-28.4073130543119,3.98106111774241,-7.13561339907819,9.63564819576904e-13,294857,2.84113832005987e-07,"GTF2A1L;STON1-GTF2A1L","TSS200;Body;1stExon;5'UTR",-0.0120836169481432
"chr11",61525711,61525922,2,11.9514100465526,1.69202841232588,11.9514100465526,1.69202841232588,7.06336250590733,1.62521006699945e-12,294857,4.79204564725258e-07,"C11orf9;DKFZP434K028","Body;TSS1500",-0.0313240269659021
"chr7",155832938,155832992,2,-16.8062544812819,2.40213406528413,-16.8062544812819,2.40213406528413,-6.9963848913212,2.62651372145327e-12,294857,7.74445956366547e-07,"","",-0.0246711579290929
"chr6",129251071,129251318,2,-11.5300225997216,1.65691323881506,-11.5300225997216,1.65691323881506,-6.95873648035266,3.43338039751431e-12,294857,1.01235624386988e-06,"LAMA2","Body",-0.00772939386038041
"chr14",103410963,103411459,4,-15.8244230166768,2.28209372472769,-15.8244230166768,2.28209372472769,-6.93416876143642,4.08616625835209e-12,294857,1.20483472443892e-06,"CDC42BPB","Body",-0.00333278459435091
"chr6",29760659,29760909,4,-9.1288507222829,1.32453929644119,-9.1288507222829,1.32453929644119,-6.89209504528145,5.49766195126514e-12,294857,1.62102410996419e-06,"HCG4","TSS200;Body",0.00853550126601596
"chr11",32421518,32421845,5,-12.9452048584301,1.9049260554246,-12.9452048584301,1.9049260554246,-6.79564690795553,1.07827574799847e-11,294857,3.17937152227585e-06,"WT1","Body",-0.0290260352101277
"chr13",113698621,113698994,6,12.3203196668929,1.83930794438512,12.3203196668929,1.83930794438512,6.69834526866656,2.10792756360017e-11,294857,6.21537197620455e-06,"MCF2L","Body",0.032306602796493
"chr19",2289682,2290107,5,-7.95361878288928,1.19212420098175,-7.95361878288928,1.19212420098175,-6.67180380730402,2.52678222694602e-11,294857,7.45039427090623e-06,"LINGO3","Body;3'UTR",-0.00141092974637141
"chr16",86337819,86337823,2,-23.8206380020679,3.63766097444748,-23.8206380020679,3.63766097444748,-6.54833921286079,5.81804502517723e-11,294857,1.71549130198868e-05,"","",-0.0263927647811174
"chr2",158453759,158454083,4,-12.4358441527914,1.92631692560191,-12.4358441527914,1.92631692560191,-6.45576228268127,1.07675516677632e-10,294857,3.17488798210165e-05,"ACVR1C","1stExon;Body;5'UTR;TSS200",-0.0178315845353001
"chr19",695447,695549,2,-11.4375315682507,1.77233186469998,-11.4375315682507,1.77233186469998,-6.45338031553519,1.09382393784458e-10,294857,3.2252164484104e-05,"PRSSL1","5'UTR;1stExon;TSS200",-0.0331259706187828
"chr17",9862763,9862873,2,-23.8428102094902,3.72616072981303,-23.8428102094902,3.72616072981303,-6.3987605308391,1.56643285926598e-10,294857,4.61873693584588e-05,"GAS7","Body;5'UTR;1stExon;TSS200",0.011352227446633
"chr2",131673771,131674221,7,-10.6754358331161,1.67543256250687,-10.6754358331161,1.67543256250687,-6.3717490467912,1.86884508684512e-10,294857,5.51042055771893e-05,"ARHGEF4","TSS200;TSS1500",-0.0139009673649328
"chr11",57414457,57414908,4,-25.694730988306,4.08498928517562,-25.694730988306,4.08498928517562,-6.29003632434287,3.17391694375521e-10,294857,9.3585162828483e-05,"YPEL4","Body;5'UTR",0.00827304290130026
"chr7",27153655,27153847,3,38.6312283607263,6.18354177586188,38.6312283607263,6.18354177586188,6.24742740665673,4.17268106979178e-10,294857,0.000123034422219559,"HOXA3","5'UTR;TSS200;TSS1500",0.0188957346817505
"chr15",101389272,101389974,6,-11.4961208053923,1.86557549350023,-11.4961208053923,1.86557549350023,-6.16223832562417,7.1723793182223e-10,294857,0.000211482624863307,"","",-0.0666860512792765
"chr16",20359815,20360497,6,-10.2758997236528,1.67346776698851,-10.2758997236528,1.67346776698851,-6.14048261123356,8.22711409635721e-10,294857,0.00024258221811096,"UMOD","Body",-0.0267056425000381
"chr10",43522143,43522343,3,-8.53549475006466,1.40235688011433,-8.53549475006466,1.40235688011433,-6.08653536849248,1.15380178610882e-09,294857,0.00034020653324669,"","",-0.0153343398718818
