"chr","start","end","n","B","S","estimate","se","z","p.value","number.tests","p.adjust","Genes","Regions","Delta_Beta"
"chr6",74104388,74104868,6,-8.72974700757824,0.553302877049184,-8.72974700757824,0.553302877049184,-15.7775196365051,4.44307707550515e-56,299051,1.32870664250689e-50,"DDX43","1stExon;5'UTR",-0.0227594413169002
"chr12",58013324,58013900,14,-9.0033510599431,0.596302372786113,-9.0033510599431,0.596302372786113,-15.0986336309155,1.65323819484093e-51,299051,4.94402535405374e-46,"SLC26A10","TSS200;TSS1500;1stExon;5'UTR",-0.0227408336479029
"chr7",95025829,95026106,12,-13.2927598296142,0.998447406520085,-13.2927598296142,0.998447406520085,-13.3134301744985,1.93394733023265e-40,299051,5.78348883053404e-35,"PON3","TSS1500;TSS200",-0.0102433967503483
"chr2",158453600,158454110,6,-10.5184227825945,0.875511284026632,-10.5184227825945,0.875511284026632,-12.014034512746,2.99851279768122e-33,299051,8.96708250659365e-28,"ACVR1C","1stExon;Body;5'UTR;TSS200",-0.0115953572289584
"chr2",70188512,70188605,3,9.9817941663698,0.837342177853376,9.9817941663698,0.837342177853376,11.9208066073529,9.22114290504378e-33,299051,2.75759200689625e-27,"ASPRV1","1stExon",-0.0316600636326729
"chr6",30711580,30711642,4,-9.98862333674882,0.956923816121115,-9.98862333674882,0.956923816121115,-10.4382639124164,1.65815355655027e-25,299051,4.95872479239916e-20,"IER3;FLOT1","3'UTR;TSS1500",0.000715751607810747
"chr1",87617142,87617296,2,-8.19297137784202,0.786479303906488,-8.19297137784202,0.786479303906488,-10.4172752380731,2.0679278576097e-25,299051,6.18415893746038e-20,"LOC339524","Body",0.0462528887014354
"chr2",233274291,233274723,3,-15.3926843187489,1.5165970020074,-15.3926843187489,1.5165970020074,-10.1494888216018,3.33103578832295e-24,299051,9.96149583533767e-19,"ALPPL2","Body;3'UTR",-0.0303069126710086
"chr13",97646765,97646803,3,-27.6896017178669,2.77323537966977,-27.6896017178669,2.77323537966977,-9.98458404247107,1.78046264401828e-23,299051,5.32449134156309e-18,"OXGR1","TSS200",-0.0303473504200375
"chr6",30069296,30071288,26,-8.4528914762225,0.887957168457749,-8.4528914762225,0.887957168457749,-9.51948109265667,1.74045946938718e-21,299051,5.20486144779706e-16,"TRIM31","3'UTR",-0.000291933060393424
"chr1",247802703,247803033,6,-11.909558371196,1.2898927751458,-11.909558371196,1.2898927751458,-9.23298323757945,2.63197284722762e-20,299051,7.87094111936266e-15,"","",-0.0335817227101267
"chr19",12978714,12978805,2,-10.7457060647833,1.16889763521933,-10.7457060647833,1.16889763521933,-9.19302575436133,3.81943537084902e-20,299051,1.14220596708777e-14,"MAST1","Body",-0.0248451651798
"chr19",10958968,10959101,4,-6.50078365597811,0.739756477468726,-6.50078365597811,0.739756477468726,-8.78773468563909,1.52605849063817e-18,299051,4.56369317683836e-13,"C19orf38","TSS200",-0.0209836924143348
"chr2",48844908,48844971,3,-28.7079194946566,3.26906937719008,-28.7079194946566,3.26906937719008,-8.78167948804207,1.61051480376184e-18,299051,4.81626062579782e-13,"GTF2A1L;STON1-GTF2A1L","TSS200;Body;1stExon;5'UTR",-0.00818407766336552
"chr2",233250370,233250571,2,-18.1994095641298,2.12341106053373,-18.1994095641298,2.12341106053373,-8.5708367552514,1.02735793894879e-17,299051,3.07232419000575e-12,"ECEL1P2","Body",-0.0564038791762274
"chr14",73712256,73712967,5,-12.4780933266739,1.51339914468001,-12.4780933266739,1.51339914468001,-8.24507755970232,1.65053125592425e-16,299051,4.93593022615404e-11,"PAPLN","Body",-0.0239561712317074
"chr4",183061840,183061955,3,-7.95374431506794,0.964667525410733,-7.95374431506794,0.964667525410733,-8.24506278645735,1.65073519000918e-16,299051,4.93654009307434e-11,"MGC45800","Body",-0.0458249580995165
"chr2",74612706,74612812,3,7.48290795553551,0.913510191958891,7.48290795553551,0.913510191958891,8.1913787294365,2.58250545492562e-16,299051,7.7230083880096e-11,"LOC100189589","TSS200",0.0363474368331117
